Function;Mode;Size;Time
mandel_normal;SECUENCIAL;256;1.96632E-01
mandel_normal;SECUENCIAL;512;6.89314E-01
mandel_normal;SECUENCIAL;1024;2.75404E+00
mandel_normal;SECUENCIAL;2048;1.11360E+01
mandel_normal;SECUENCIAL;4096;4.45436E+01
mandel_normal;SECUENCIAL;8192;1.78173E+02
mandelProf;PARALELO;256;2.34281E-01
mandel_normal;PARALELO;256;2.81672E-02
mandel_collapse;PARALELO;256;4.70896E-02
mandel_tasks;PARALELO;256;2.55819E-01
mandel_schedule_guided;PARALELO;256;4.20570E-02
mandelProf;PARALELO;512;1.01649E+00
mandel_normal;PARALELO;512;1.12866E-01
mandel_collapse;PARALELO;512;1.69676E-01
mandel_tasks;PARALELO;512;9.11000E-01
mandel_schedule_guided;PARALELO;512;1.56994E-01
mandelProf;PARALELO;1024;3.89816E+00
mandel_normal;PARALELO;1024;4.51234E-01
mandel_collapse;PARALELO;1024;5.03528E-01
mandel_tasks;PARALELO;1024;3.85910E+00
mandel_schedule_guided;PARALELO;1024;4.01100E-01
mandelProf;PARALELO;2048;1.49440E+01
mandel_normal;PARALELO;2048;1.83818E+00
mandel_collapse;PARALELO;2048;1.87230E+00
mandel_tasks;PARALELO;2048;1.36917E+01
mandel_schedule_guided;PARALELO;2048;1.44091E+00
mandelProf;PARALELO;4096;6.01548E+01
mandel_normal;PARALELO;4096;7.39667E+00
mandel_collapse;PARALELO;4096;7.37317E+00
mandel_tasks;PARALELO;4096;5.99536E+01
mandel_schedule_guided;PARALELO;4096;5.66193E+00
mandelProf;PARALELO;8192;2.47008E+02
mandel_normal;PARALELO;8192;2.95993E+01
mandel_collapse;PARALELO;8192;2.94998E+01
mandel_tasks;PARALELO;8192;2.38221E+02
mandel_schedule_guided;PARALELO;8192;2.25363E+01
