Function;Mode;Size;Time
mandel_normal;SECUENCIAL;256;1.34956E-01
mandel_normal;SECUENCIAL;512;4.70875E-01
mandel_normal;SECUENCIAL;1024;1.88404E+00
mandel_normal;SECUENCIAL;2048;7.53366E+00
mandel_normal;SECUENCIAL;4096;3.01275E+01
mandel_normal;SECUENCIAL;8192;1.20500E+02
mandelProf;PARALELO;256;9.42652E-02
mandel_normal;PARALELO;256;7.01520E-02
mandel_collapse;PARALELO;256;8.96652E-02
mandel_tasks;PARALELO;256;8.55896E-02
mandel_schedule_guided;PARALELO;256;9.28974E-02
mandelProf;PARALELO;512;2.96928E-01
mandel_normal;PARALELO;512;2.72381E-01
mandel_collapse;PARALELO;512;3.17062E-01
mandel_tasks;PARALELO;512;3.06166E-01
mandel_schedule_guided;PARALELO;512;2.77936E-01
mandelProf;PARALELO;1024;1.13476E+00
mandel_normal;PARALELO;1024;1.08975E+00
mandel_collapse;PARALELO;1024;1.13379E+00
mandel_tasks;PARALELO;1024;1.10349E+00
mandel_schedule_guided;PARALELO;1024;9.75663E-01
mandelProf;PARALELO;2048;4.48771E+00
mandel_normal;PARALELO;2048;4.35612E+00
mandel_collapse;PARALELO;2048;4.40631E+00
mandel_tasks;PARALELO;2048;4.37991E+00
mandel_schedule_guided;PARALELO;2048;3.78674E+00
mandelProf;PARALELO;4096;1.78786E+01
mandel_normal;PARALELO;4096;1.74195E+01
mandel_collapse;PARALELO;4096;1.74783E+01
mandel_tasks;PARALELO;4096;1.73839E+01
mandel_schedule_guided;PARALELO;4096;1.50841E+01
mandelProf;PARALELO;8192;7.14589E+01
mandel_normal;PARALELO;8192;6.96760E+01
mandel_collapse;PARALELO;8192;6.99196E+01
mandel_tasks;PARALELO;8192;6.94684E+01
mandel_schedule_guided;PARALELO;8192;6.02879E+01
