Function;Mode;Size;Time
mandel_normal;SECUENCIAL;256;1.94887E-01
mandel_normal;SECUENCIAL;512;6.88837E-01
mandel_normal;SECUENCIAL;1024;2.75424E+00
mandel_normal;SECUENCIAL;2048;1.11360E+01
mandel_normal;SECUENCIAL;4096;4.45436E+01
mandel_normal;SECUENCIAL;8192;1.78179E+02
mandelProf;PARALELO;256;2.45685E-01
mandel_normal;PARALELO;256;2.80964E-02
mandel_collapse;PARALELO;256;4.70953E-02
mandel_tasks;PARALELO;256;2.23564E-01
mandel_schedule_guided;PARALELO;256;5.53398E-02
mandelProf;PARALELO;512;9.24839E-01
mandel_normal;PARALELO;512;1.12873E-01
mandel_collapse;PARALELO;512;1.69687E-01
mandel_tasks;PARALELO;512;9.31492E-01
mandel_schedule_guided;PARALELO;512;1.43558E-01
mandelProf;PARALELO;1024;3.81841E+00
mandel_normal;PARALELO;1024;4.50825E-01
mandel_collapse;PARALELO;1024;5.03209E-01
mandel_tasks;PARALELO;1024;3.87802E+00
mandel_schedule_guided;PARALELO;1024;3.95259E-01
mandelProf;PARALELO;2048;1.52783E+01
mandel_normal;PARALELO;2048;1.82319E+00
mandel_collapse;PARALELO;2048;1.88908E+00
mandel_tasks;PARALELO;2048;1.37872E+01
mandel_schedule_guided;PARALELO;2048;1.44716E+00
mandelProf;PARALELO;4096;5.60292E+01
mandel_normal;PARALELO;4096;7.26840E+00
mandel_collapse;PARALELO;4096;7.29878E+00
mandel_tasks;PARALELO;4096;6.06405E+01
mandel_schedule_guided;PARALELO;4096;5.65846E+00
mandelProf;PARALELO;8192;2.49272E+02
mandel_normal;PARALELO;8192;2.91168E+01
mandel_collapse;PARALELO;8192;2.91065E+01
mandel_tasks;PARALELO;8192;2.43852E+02
mandel_schedule_guided;PARALELO;8192;2.25310E+01
