Function;Mode;Size;Time
mandel_normal;SECUENCIAL;256;1.57773E-01
mandel_normal;SECUENCIAL;512;3.57190E-01
mandel_normal;SECUENCIAL;1024;1.42245E+00
mandel_normal;SECUENCIAL;2048;5.85404E+00
mandel_normal;SECUENCIAL;4096;2.34382E+01
mandel_normal;SECUENCIAL;8192;9.37271E+01
mandelProf;PARALELO;256;9.72893E-02
mandel_normal;PARALELO;256;2.21782E-02
mandel_collapse;PARALELO;256;4.49548E-02
mandel_tasks;PARALELO;256;7.82425E-02
mandel_schedule_guided;PARALELO;256;3.65183E-02
mandelProf;PARALELO;512;3.08518E-01
mandel_normal;PARALELO;512;5.90525E-02
mandel_collapse;PARALELO;512;1.10908E-01
mandel_tasks;PARALELO;512;3.41252E-01
mandel_schedule_guided;PARALELO;512;9.58166E-02
mandelProf;PARALELO;1024;1.12230E+00
mandel_normal;PARALELO;1024;2.36192E-01
mandel_collapse;PARALELO;1024;2.92067E-01
mandel_tasks;PARALELO;1024;1.14338E+00
mandel_schedule_guided;PARALELO;1024;2.28131E-01
mandelProf;PARALELO;2048;4.34520E+00
mandel_normal;PARALELO;2048;9.73668E-01
mandel_collapse;PARALELO;2048;1.00677E+00
mandel_tasks;PARALELO;2048;4.29633E+00
mandel_schedule_guided;PARALELO;2048;7.82843E-01
mandelProf;PARALELO;4096;1.71435E+01
mandel_normal;PARALELO;4096;3.89367E+00
mandel_collapse;PARALELO;4096;3.90402E+00
mandel_tasks;PARALELO;4096;1.74306E+01
mandel_schedule_guided;PARALELO;4096;3.03511E+00
mandelProf;PARALELO;8192;6.87368E+01
mandel_normal;PARALELO;8192;1.56367E+01
mandel_collapse;PARALELO;8192;1.56034E+01
mandel_tasks;PARALELO;8192;6.94687E+01
mandel_schedule_guided;PARALELO;8192;1.21185E+01
