Function;Mode;Size;Time
mandel_normal;SECUENCIAL;256;1.73449E-01
mandel_normal;SECUENCIAL;512;3.54447E-01
mandel_normal;SECUENCIAL;1024;1.41719E+00
mandel_normal;SECUENCIAL;2048;5.83645E+00
mandel_normal;SECUENCIAL;4096;2.34071E+01
mandel_normal;SECUENCIAL;8192;9.36206E+01
mandelProf;PARALELO;256;9.81851E-02
mandel_normal;PARALELO;256;2.42751E-02
mandel_collapse;PARALELO;256;3.65601E-02
mandel_tasks;PARALELO;256;1.13009E-01
mandel_schedule_guided;PARALELO;256;2.80273E-02
mandelProf;PARALELO;512;2.91929E-01
mandel_normal;PARALELO;512;5.89921E-02
mandel_collapse;PARALELO;512;1.04647E-01
mandel_tasks;PARALELO;512;3.48455E-01
mandel_schedule_guided;PARALELO;512;8.12855E-02
mandelProf;PARALELO;1024;1.13391E+00
mandel_normal;PARALELO;1024;2.35853E-01
mandel_collapse;PARALELO;1024;2.72877E-01
mandel_tasks;PARALELO;1024;1.17080E+00
mandel_schedule_guided;PARALELO;1024;2.22473E-01
mandelProf;PARALELO;2048;4.51049E+00
mandel_normal;PARALELO;2048;9.67216E-01
mandel_collapse;PARALELO;2048;1.00718E+00
mandel_tasks;PARALELO;2048;4.34727E+00
mandel_schedule_guided;PARALELO;2048;7.80098E-01
mandelProf;PARALELO;4096;1.74304E+01
mandel_normal;PARALELO;4096;3.88905E+00
mandel_collapse;PARALELO;4096;3.91075E+00
mandel_tasks;PARALELO;4096;1.74641E+01
mandel_schedule_guided;PARALELO;4096;3.03344E+00
mandelProf;PARALELO;8192;6.91605E+01
mandel_normal;PARALELO;8192;1.55592E+01
mandel_collapse;PARALELO;8192;1.55858E+01
mandel_tasks;PARALELO;8192;7.05437E+01
mandel_schedule_guided;PARALELO;8192;1.20958E+01
