Function;Mode;Size;Time
mandel_normal;SECUENCIAL;256;1.28357E-01
mandel_normal;SECUENCIAL;512;4.71252E-01
mandel_normal;SECUENCIAL;1024;1.88668E+00
mandel_normal;SECUENCIAL;2048;7.54564E+00
mandel_normal;SECUENCIAL;4096;3.01771E+01
mandel_normal;SECUENCIAL;8192;1.20697E+02
mandelProf;PARALELO;256;7.47144E-02
mandel_normal;PARALELO;256;6.80339E-02
mandel_collapse;PARALELO;256;9.04081E-02
mandel_tasks;PARALELO;256;8.50248E-02
mandel_schedule_guided;PARALELO;256;1.01868E-01
mandelProf;PARALELO;512;3.18687E-01
mandel_normal;PARALELO;512;2.72918E-01
mandel_collapse;PARALELO;512;3.15465E-01
mandel_tasks;PARALELO;512;2.98445E-01
mandel_schedule_guided;PARALELO;512;2.59316E-01
mandelProf;PARALELO;1024;1.15996E+00
mandel_normal;PARALELO;1024;1.08999E+00
mandel_collapse;PARALELO;1024;1.10280E+00
mandel_tasks;PARALELO;1024;1.09640E+00
mandel_schedule_guided;PARALELO;1024;9.63680E-01
mandelProf;PARALELO;2048;4.51228E+00
mandel_normal;PARALELO;2048;4.35708E+00
mandel_collapse;PARALELO;2048;4.40433E+00
mandel_tasks;PARALELO;2048;4.33590E+00
mandel_schedule_guided;PARALELO;2048;3.78582E+00
mandelProf;PARALELO;4096;1.78737E+01
mandel_normal;PARALELO;4096;1.74206E+01
mandel_collapse;PARALELO;4096;1.75057E+01
mandel_tasks;PARALELO;4096;1.70125E+01
mandel_schedule_guided;PARALELO;4096;1.50807E+01
mandelProf;PARALELO;8192;7.14214E+01
mandel_normal;PARALELO;8192;6.96788E+01
mandel_collapse;PARALELO;8192;6.98792E+01
mandel_tasks;PARALELO;8192;6.89371E+01
mandel_schedule_guided;PARALELO;8192;6.02689E+01
