Function;Mode;Size;Time;Error;Average Function;Average;Average Time
mandel_normal;PARALELO;256;2.97980E-02;-;promedio_normal;221.73057556152344;7.12872E-05
mandel_normal;PARALELO;256;3.40073E-02;-;promedio_atomic;221.73057556152344;7.51019E-05
mandel_normal;PARALELO;256;2.42808E-02;-;promedio_critical;221.73057556152344;6.19888E-05
mandel_normal;PARALELO;256;2.43001E-02;-;promedio_vect;221.73057556152344;6.00815E-05
mandel_normal;PARALELO;256;2.41995E-02;-;promedio_int;221.73057556152344;8.51154E-05
mandel_normal;PARALELO;256;1.74439E-02;-;promedio_schedule;221.73057556152344;5.67436E-05
mandel_normal;PARALELO;512;5.94192E-02;-;promedio_normal;221.90122604370117;1.16110E-04
mandel_normal;PARALELO;512;5.89614E-02;-;promedio_atomic;221.90122604370117;1.15871E-04
mandel_normal;PARALELO;512;5.93357E-02;-;promedio_critical;221.90122604370117;1.18494E-04
mandel_normal;PARALELO;512;5.94363E-02;-;promedio_vect;221.90122604370117;1.17779E-04
mandel_normal;PARALELO;512;5.91474E-02;-;promedio_int;221.90122604370117;2.15054E-04
mandel_normal;PARALELO;512;5.93045E-02;-;promedio_schedule;221.90122604370117;2.11477E-04
mandel_normal;PARALELO;1024;2.36242E-01;-;promedio_normal;221.96004581451416;4.49181E-04
mandel_normal;PARALELO;1024;2.37772E-01;-;promedio_atomic;221.96004581451416;4.36783E-04
mandel_normal;PARALELO;1024;2.36975E-01;-;promedio_critical;221.96004581451416;4.48227E-04
mandel_normal;PARALELO;1024;2.36031E-01;-;promedio_vect;221.96004581451416;4.40836E-04
mandel_normal;PARALELO;1024;2.36147E-01;-;promedio_int;221.96004581451416;8.26359E-04
mandel_normal;PARALELO;1024;2.36042E-01;-;promedio_schedule;221.96004581451416;8.67367E-04
mandel_normal;PARALELO;2048;9.55142E-01;-;promedio_normal;221.97750806808472;1.68300E-03
mandel_normal;PARALELO;2048;9.55392E-01;-;promedio_atomic;221.97750806808472;1.66535E-03
mandel_normal;PARALELO;2048;9.56445E-01;-;promedio_critical;221.97750806808472;1.63794E-03
mandel_normal;PARALELO;2048;9.56739E-01;-;promedio_vect;221.97750806808472;1.56093E-03
mandel_normal;PARALELO;2048;9.56707E-01;-;promedio_int;221.97750806808472;2.86388E-03
mandel_normal;PARALELO;2048;9.56335E-01;-;promedio_schedule;221.97750806808472;3.70455E-03
mandel_normal;PARALELO;4096;3.86103E+00;-;promedio_normal;221.95286804437637;6.18029E-03
mandel_normal;PARALELO;4096;3.85918E+00;-;promedio_atomic;221.95286804437637;6.17790E-03
mandel_normal;PARALELO;4096;3.86039E+00;-;promedio_critical;221.95286804437637;7.60865E-03
mandel_normal;PARALELO;4096;3.86474E+00;-;promedio_vect;221.95286804437637;6.10995E-03
mandel_normal;PARALELO;4096;3.86324E+00;-;promedio_int;-34.04713195562363;2.07653E-02
mandel_normal;PARALELO;4096;3.86277E+00;-;promedio_schedule;221.95286804437637;1.38521E-02
mandel_normal;PARALELO;8192;1.56703E+01;-;promedio_normal;221.93699164688587;5.01702E-02
mandel_normal;PARALELO;8192;1.57083E+01;-;promedio_atomic;221.93699164688587;4.43132E-02
mandel_normal;PARALELO;8192;1.56855E+01;-;promedio_critical;221.93699164688587;4.44963E-02
mandel_normal;PARALELO;8192;1.57029E+01;-;promedio_vect;221.93699164688587;4.42739E-02
mandel_normal;PARALELO;8192;1.56776E+01;-;promedio_int;29.936986804008484;8.22716E-02
mandel_normal;PARALELO;8192;1.56880E+01;-;promedio_schedule;221.93699164688587;5.74780E-02
