Function;Mode;Size;Time;Error;Average Function;Average;Average Time
mandel_normal;PARALELO;256;3.20857E-02;-;promedio_normal;221.73057556152344;6.79493E-05
mandel_normal;PARALELO;256;3.38213E-02;-;promedio_int;221.73057556152344;1.10865E-04
mandel_normal;PARALELO;256;2.44677E-02;-;promedio_schedule;221.73057556152344;6.86646E-05
mandel_normal;PARALELO;256;2.25387E-02;-;promedio_atomic;221.73057556152344;4.67300E-05
mandel_normal;PARALELO;256;2.30820E-02;-;promedio_critical;221.73057556152344;5.03063E-05
mandel_normal;PARALELO;256;2.09944E-02;-;promedio_vect;221.73057556152344;4.98295E-05
mandel_normal;PARALELO;512;5.86665E-02;-;promedio_normal;221.90122604370117;1.14918E-04
mandel_normal;PARALELO;512;5.89240E-02;-;promedio_int;221.90122604370117;2.09808E-04
mandel_normal;PARALELO;512;5.92237E-02;-;promedio_schedule;221.90122604370117;2.08616E-04
mandel_normal;PARALELO;512;5.88937E-02;-;promedio_atomic;221.90122604370117;1.14679E-04
mandel_normal;PARALELO;512;5.88825E-02;-;promedio_critical;221.90122604370117;1.19925E-04
mandel_normal;PARALELO;512;5.89023E-02;-;promedio_vect;221.90122604370117;1.16825E-04
mandel_normal;PARALELO;1024;2.35132E-01;-;promedio_normal;221.96004581451416;4.36783E-04
mandel_normal;PARALELO;1024;2.34998E-01;-;promedio_int;221.96004581451416;8.17299E-04
mandel_normal;PARALELO;1024;2.34994E-01;-;promedio_schedule;221.96004581451416;8.40664E-04
mandel_normal;PARALELO;1024;2.35290E-01;-;promedio_atomic;221.96004581451416;4.36544E-04
mandel_normal;PARALELO;1024;2.34931E-01;-;promedio_critical;221.96004581451416;4.34399E-04
mandel_normal;PARALELO;1024;2.34933E-01;-;promedio_vect;221.96004581451416;4.47512E-04
mandel_normal;PARALELO;2048;9.51935E-01;-;promedio_normal;221.97750806808472;1.54424E-03
mandel_normal;PARALELO;2048;9.51642E-01;-;promedio_int;221.97750806808472;2.87032E-03
mandel_normal;PARALELO;2048;9.51772E-01;-;promedio_schedule;221.97750806808472;3.71051E-03
mandel_normal;PARALELO;2048;9.51844E-01;-;promedio_atomic;221.97750806808472;1.58763E-03
mandel_normal;PARALELO;2048;9.52295E-01;-;promedio_critical;221.97750806808472;1.59645E-03
mandel_normal;PARALELO;2048;9.52324E-01;-;promedio_vect;221.97750806808472;1.59025E-03
mandel_normal;PARALELO;4096;3.84096E+00;-;promedio_normal;221.95286804437637;1.09766E-02
mandel_normal;PARALELO;4096;3.84331E+00;-;promedio_int;-34.04713195562363;2.07891E-02
mandel_normal;PARALELO;4096;3.84535E+00;-;promedio_schedule;221.95286804437637;1.40190E-02
mandel_normal;PARALELO;4096;3.84425E+00;-;promedio_atomic;221.95286804437637;1.10030E-02
mandel_normal;PARALELO;4096;3.84770E+00;-;promedio_critical;221.95286804437637;1.09904E-02
mandel_normal;PARALELO;4096;3.84833E+00;-;promedio_vect;221.95286804437637;1.09684E-02
mandel_normal;PARALELO;8192;1.56198E+01;-;promedio_normal;221.93699164688587;5.05097E-02
mandel_normal;PARALELO;8192;1.56204E+01;-;promedio_int;29.936986804008484;8.86450E-02
mandel_normal;PARALELO;8192;1.56229E+01;-;promedio_schedule;221.93699164688587;5.70838E-02
mandel_normal;PARALELO;8192;1.56341E+01;-;promedio_atomic;221.93699164688587;4.43134E-02
mandel_normal;PARALELO;8192;1.56432E+01;-;promedio_critical;221.93699164688587;4.45359E-02
mandel_normal;PARALELO;8192;1.56694E+01;-;promedio_vect;221.93699164688587;4.41720E-02
