Function;Mode;Size;Time;Error;Average
mandel_normal;PARALELO;256;2.90358E-02;-;221.18878173828125;
mandel_schedule_auto;PARALELO;256;3.37684E-02;0.0;221.18878173828125;
mandel_schedule_static;PARALELO;256;6.02126E-02;0.0;221.18878173828125;
mandel_schedule_guided;PARALELO;256;2.61230E-02;0.0;221.18878173828125;
mandel_schedule_runtime;PARALELO;256;3.38697E-02;0.0;221.18878173828125;
mandel_schedule_dynamic;PARALELO;256;3.38495E-02;0.0;221.18878173828125;
mandel_schedule_dynamic1;PARALELO;256;2.99361E-02;0.0;221.18878173828125;
mandel_schedule_dynamic32;PARALELO;256;2.75176E-02;0.0;221.18878173828125;
mandel_schedule_dynamic256;PARALELO;256;9.44788E-02;0.0;221.18878173828125;
mandel_schedule_dynamic1024;PARALELO;256;9.01151E-02;0.0;221.18878173828125;
mandel_normal;PARALELO;512;8.90143E-02;-;221.35943984985352;
mandel_schedule_auto;PARALELO;512;5.87606E-02;0.0;221.35943984985352;
mandel_schedule_static;PARALELO;512;9.51374E-02;0.0;221.35943984985352;
mandel_schedule_guided;PARALELO;512;7.95245E-02;0.0;221.35943984985352;
mandel_schedule_runtime;PARALELO;512;7.40979E-02;0.0;221.35943984985352;
mandel_schedule_dynamic;PARALELO;512;7.42915E-02;0.0;221.35943984985352;
mandel_schedule_dynamic1;PARALELO;512;8.10378E-02;0.0;221.35943984985352;
mandel_schedule_dynamic32;PARALELO;512;9.37426E-02;0.0;221.35943984985352;
mandel_schedule_dynamic256;PARALELO;512;2.16409E-01;0.0;221.35943984985352;
mandel_schedule_dynamic1024;PARALELO;512;3.53390E-01;0.0;221.35943984985352;
mandel_normal;PARALELO;1024;2.60887E-01;-;221.45262718200684;
mandel_schedule_auto;PARALELO;1024;2.34683E-01;0.0;221.45262718200684;
mandel_schedule_static;PARALELO;1024;2.72749E-01;0.0;221.45262718200684;
mandel_schedule_guided;PARALELO;1024;2.14239E-01;0.0;221.45262718200684;
mandel_schedule_runtime;PARALELO;1024;2.16314E-01;0.0;221.45262718200684;
mandel_schedule_dynamic;PARALELO;1024;2.16478E-01;0.0;221.45262718200684;
mandel_schedule_dynamic1;PARALELO;1024;2.15711E-01;0.0;221.45262718200684;
mandel_schedule_dynamic32;PARALELO;1024;2.22753E-01;0.0;221.45262718200684;
mandel_schedule_dynamic256;PARALELO;1024;4.76172E-01;0.0;221.45262718200684;
mandel_schedule_dynamic1024;PARALELO;1024;1.41871E+00;0.0;221.45262718200684;
mandel_normal;PARALELO;2048;9.61261E-01;-;221.49705934524536;
mandel_schedule_auto;PARALELO;2048;9.39820E-01;0.0;221.49705934524536;
mandel_schedule_static;PARALELO;2048;9.70957E-01;0.0;221.49705934524536;
mandel_schedule_guided;PARALELO;2048;7.45546E-01;0.0;221.49705934524536;
mandel_schedule_runtime;PARALELO;2048;7.55526E-01;0.0;221.49705934524536;
mandel_schedule_dynamic;PARALELO;2048;7.58825E-01;0.0;221.49705934524536;
mandel_schedule_dynamic1;PARALELO;2048;7.57510E-01;0.0;221.49705934524536;
mandel_schedule_dynamic32;PARALELO;2048;7.71552E-01;0.0;221.49705934524536;
mandel_schedule_dynamic256;PARALELO;2048;9.73678E-01;0.0;221.49705934524536;
mandel_schedule_dynamic1024;PARALELO;2048;3.30498E+00;0.0;221.49705934524536;
mandel_normal;PARALELO;4096;3.80917E+00;-;221.47212201356888;
mandel_schedule_auto;PARALELO;4096;3.81013E+00;0.0;221.47212201356888;
mandel_schedule_static;PARALELO;4096;3.82128E+00;0.0;221.47212201356888;
mandel_schedule_guided;PARALELO;4096;2.96079E+00;0.0;221.47212201356888;
mandel_schedule_runtime;PARALELO;4096;2.99677E+00;0.0;221.47212201356888;
mandel_schedule_dynamic;PARALELO;4096;2.99983E+00;0.0;221.47212201356888;
mandel_schedule_dynamic1;PARALELO;4096;2.99660E+00;0.0;221.47212201356888;
mandel_schedule_dynamic32;PARALELO;4096;2.98793E+00;0.0;221.47212201356888;
mandel_schedule_dynamic256;PARALELO;4096;3.23202E+00;0.0;221.47212201356888;
mandel_schedule_dynamic1024;PARALELO;4096;7.05983E+00;0.0;221.47212201356888;
mandel_normal;PARALELO;8192;1.55105E+01;-;221.45900481939316;
mandel_schedule_auto;PARALELO;8192;1.54686E+01;0.0;221.45900481939316;
mandel_schedule_static;PARALELO;8192;1.54803E+01;0.0;221.45900481939316;
mandel_schedule_guided;PARALELO;8192;1.20156E+01;0.0;221.45900481939316;
mandel_schedule_runtime;PARALELO;8192;1.19819E+01;0.0;221.45900481939316;
mandel_schedule_dynamic;PARALELO;8192;1.20247E+01;0.0;221.45900481939316;
mandel_schedule_dynamic1;PARALELO;8192;1.20306E+01;0.0;221.45900481939316;
mandel_schedule_dynamic32;PARALELO;8192;1.22746E+01;0.0;221.45900481939316;
mandel_schedule_dynamic256;PARALELO;8192;1.24200E+01;0.0;221.45900481939316;
mandel_schedule_dynamic1024;PARALELO;8192;1.54916E+01;0.0;221.45900481939316;
