Function;Mode;Size;Time;Error;Average
mandel_normal;PARALELO;256;2.54223E-02;-;221.18878173828125;
mandel_schedule_auto;PARALELO;256;2.56627E-02;0.0;221.18878173828125;
mandel_schedule_static;PARALELO;256;3.79059E-02;0.0;221.18878173828125;
mandel_schedule_guided;PARALELO;256;3.78091E-02;0.0;221.18878173828125;
mandel_schedule_runtime;PARALELO;256;3.38867E-02;0.0;221.18878173828125;
mandel_schedule_dynamic;PARALELO;256;3.38495E-02;0.0;221.18878173828125;
mandel_schedule_dynamic1;PARALELO;256;2.55079E-02;0.0;221.18878173828125;
mandel_schedule_dynamic32;PARALELO;256;3.32718E-02;0.0;221.18878173828125;
mandel_schedule_dynamic256;PARALELO;256;9.74057E-02;0.0;221.18878173828125;
mandel_schedule_dynamic1024;PARALELO;256;8.99723E-02;0.0;221.18878173828125;
mandel_normal;PARALELO;512;8.90594E-02;-;221.35943984985352;
mandel_schedule_auto;PARALELO;512;5.87716E-02;0.0;221.35943984985352;
mandel_schedule_static;PARALELO;512;1.05336E-01;0.0;221.35943984985352;
mandel_schedule_guided;PARALELO;512;8.57909E-02;0.0;221.35943984985352;
mandel_schedule_runtime;PARALELO;512;8.43496E-02;0.0;221.35943984985352;
mandel_schedule_dynamic;PARALELO;512;8.41837E-02;0.0;221.35943984985352;
mandel_schedule_dynamic1;PARALELO;512;7.64709E-02;0.0;221.35943984985352;
mandel_schedule_dynamic32;PARALELO;512;8.46093E-02;0.0;221.35943984985352;
mandel_schedule_dynamic256;PARALELO;512;2.09688E-01;0.0;221.35943984985352;
mandel_schedule_dynamic1024;PARALELO;512;3.55770E-01;0.0;221.35943984985352;
mandel_normal;PARALELO;1024;2.59862E-01;-;221.45262718200684;
mandel_schedule_auto;PARALELO;1024;2.34150E-01;0.0;221.45262718200684;
mandel_schedule_static;PARALELO;1024;2.71815E-01;0.0;221.45262718200684;
mandel_schedule_guided;PARALELO;1024;2.15158E-01;0.0;221.45262718200684;
mandel_schedule_runtime;PARALELO;1024;2.15193E-01;0.0;221.45262718200684;
mandel_schedule_dynamic;PARALELO;1024;2.16973E-01;0.0;221.45262718200684;
mandel_schedule_dynamic1;PARALELO;1024;2.14843E-01;0.0;221.45262718200684;
mandel_schedule_dynamic32;PARALELO;1024;2.21236E-01;0.0;221.45262718200684;
mandel_schedule_dynamic256;PARALELO;1024;4.72810E-01;0.0;221.45262718200684;
mandel_schedule_dynamic1024;PARALELO;1024;1.41628E+00;0.0;221.45262718200684;
mandel_normal;PARALELO;2048;9.72475E-01;-;221.49705934524536;
mandel_schedule_auto;PARALELO;2048;9.37443E-01;0.0;221.49705934524536;
mandel_schedule_static;PARALELO;2048;9.63025E-01;0.0;221.49705934524536;
mandel_schedule_guided;PARALELO;2048;7.52821E-01;0.0;221.49705934524536;
mandel_schedule_runtime;PARALELO;2048;7.51711E-01;0.0;221.49705934524536;
mandel_schedule_dynamic;PARALELO;2048;7.54402E-01;0.0;221.49705934524536;
mandel_schedule_dynamic1;PARALELO;2048;7.61085E-01;0.0;221.49705934524536;
mandel_schedule_dynamic32;PARALELO;2048;7.69213E-01;0.0;221.49705934524536;
mandel_schedule_dynamic256;PARALELO;2048;9.73516E-01;0.0;221.49705934524536;
mandel_schedule_dynamic1024;PARALELO;2048;3.26850E+00;0.0;221.49705934524536;
mandel_normal;PARALELO;4096;3.82226E+00;-;221.47212201356888;
mandel_schedule_auto;PARALELO;4096;3.82473E+00;0.0;221.47212201356888;
mandel_schedule_static;PARALELO;4096;3.81594E+00;0.0;221.47212201356888;
mandel_schedule_guided;PARALELO;4096;2.97454E+00;0.0;221.47212201356888;
mandel_schedule_runtime;PARALELO;4096;2.97754E+00;0.0;221.47212201356888;
mandel_schedule_dynamic;PARALELO;4096;2.97932E+00;0.0;221.47212201356888;
mandel_schedule_dynamic1;PARALELO;4096;2.97907E+00;0.0;221.47212201356888;
mandel_schedule_dynamic32;PARALELO;4096;3.02742E+00;0.0;221.47212201356888;
mandel_schedule_dynamic256;PARALELO;4096;3.25684E+00;0.0;221.47212201356888;
mandel_schedule_dynamic1024;PARALELO;4096;7.15434E+00;0.0;221.47212201356888;
mandel_normal;PARALELO;8192;1.55079E+01;-;221.45900481939316;
mandel_schedule_auto;PARALELO;8192;1.54283E+01;0.0;221.45900481939316;
mandel_schedule_static;PARALELO;8192;1.54484E+01;0.0;221.45900481939316;
mandel_schedule_guided;PARALELO;8192;1.19537E+01;0.0;221.45900481939316;
mandel_schedule_runtime;PARALELO;8192;1.19303E+01;0.0;221.45900481939316;
mandel_schedule_dynamic;PARALELO;8192;1.19537E+01;0.0;221.45900481939316;
mandel_schedule_dynamic1;PARALELO;8192;1.20028E+01;0.0;221.45900481939316;
mandel_schedule_dynamic32;PARALELO;8192;1.22558E+01;0.0;221.45900481939316;
mandel_schedule_dynamic256;PARALELO;8192;1.24428E+01;0.0;221.45900481939316;
mandel_schedule_dynamic1024;PARALELO;8192;1.55075E+01;0.0;221.45900481939316;
