Function;Mode;Size;Time;TPB
mandelGPU_normal;GPU;1024;6.04873E-02;32
mandelGPU_normal;GPU;2048;1.85642E-01;32
mandelGPU_normal;GPU;4096;6.29976E-01;32
mandelGPU_normal;GPU;8192;2.36075E+00;32
mandelGPU_normal;GPU;10240;3.62050E+00;32
