Function;Mode;Size;Time;TPB
mandelGPU_normal;GPU;1024;4.70340E-02;32
mandelGPU_normal;GPU;2048;1.70458E-01;32
mandelGPU_normal;GPU;4096;6.29864E-01;32
mandelGPU_normal;GPU;8192;2.36135E+00;32
mandelGPU_normal;GPU;10240;3.62058E+00;32
