Function;Mode;Size;Time;TPB
mandelProf;GPU;1024;4.70865E-02;32
mandelGPU_normal;GPU;1024;4.70908E-02;32
mandelGPU_heter;GPU;1024;5.09682E-02;32
mandelGPU_unified;GPU;1024;4.87986E-02;32
mandelGPU_pinned;GPU;1024;4.99456E-02;32
mandelGPU_1D;GPU;1024;9.78284E-02;32
mandelProf;GPU;2048;1.71267E-01;32
mandelGPU_normal;GPU;2048;1.71198E-01;32
mandelGPU_heter;GPU;2048;1.33354E-01;32
mandelGPU_unified;GPU;2048;1.75987E-01;32
mandelGPU_pinned;GPU;2048;1.82412E-01;32
mandelGPU_1D;GPU;2048;2.84677E-01;32
mandelProf;GPU;4096;6.34733E-01;32
mandelGPU_normal;GPU;4096;6.34683E-01;32
mandelGPU_heter;GPU;4096;4.87746E-01;32
mandelGPU_unified;GPU;4096;6.53818E-01;32
mandelGPU_pinned;GPU;4096;6.77853E-01;32
mandelGPU_1D;GPU;4096;7.37442E-01;32
mandelProf;GPU;8192;2.37923E+00;32
mandelGPU_normal;GPU;8192;2.37928E+00;32
mandelGPU_heter;GPU;8192;1.78949E+00;32
mandelGPU_unified;GPU;8192;2.45485E+00;32
mandelGPU_pinned;GPU;8192;2.54936E+00;32
mandelGPU_1D;GPU;8192;2.70260E+00;32
mandelProf;GPU;10240;3.64806E+00;32
mandelGPU_normal;GPU;10240;3.64838E+00;32
mandelGPU_heter;GPU;10240;2.77636E+00;32
mandelGPU_unified;GPU;10240;3.76255E+00;32
mandelGPU_pinned;GPU;10240;3.91499E+00;32
mandelGPU_1D;GPU;10240;3.94270E+00;32
