Function           Mode  Size   Time         TPB
mandelGPU_normal   GPU   1024   4.67293E-02  32
mandelGPU_heter    GPU   1024   3.56741E-02  32
mandelGPU_unified  GPU   1024   4.80506E-02  32
mandelGPU_pinned   GPU   1024   4.93021E-02  32
mandelGPU_1D       GPU   1024   9.70902E-02  32
mandelGPU_normal   GPU   2048   1.69983E-01  32
mandelGPU_heter    GPU   2048   1.34956E-01  32
mandelGPU_unified  GPU   2048   1.74754E-01  32
mandelGPU_pinned   GPU   2048   1.80194E-01  32
mandelGPU_1D       GPU   2048   2.82471E-01  32
mandelGPU_normal   GPU   4096   6.30054E-01  32
mandelGPU_heter    GPU   4096   4.81265E-01  32
mandelGPU_unified  GPU   4096   6.50392E-01  32
mandelGPU_pinned   GPU   4096   6.68719E-01  32
mandelGPU_1D       GPU   4096   7.32115E-01  32
mandelGPU_normal   GPU   8192   2.36160E+00  32
mandelGPU_heter    GPU   8192   1.80886E+00  32
mandelGPU_unified  GPU   8192   2.45220E+00  32
mandelGPU_pinned   GPU   8192   2.51279E+00  32
mandelGPU_1D       GPU   8192   2.68214E+00  32
mandelGPU_normal   GPU   10240  3.62056E+00  32
mandelGPU_heter    GPU   10240  2.75913E+00  32
mandelGPU_unified  GPU   10240  3.73951E+00  32
mandelGPU_pinned   GPU   10240  3.85924E+00  32
mandelGPU_1D       GPU   10240  3.91220E+00  32
