Function;Mode;Size;Time;TPB
mandelProf;GPU;1024;4.70800E-02;32
mandelGPU_normal;GPU;1024;4.70977E-02;32
mandelGPU_heter;GPU;1024;4.40691E-02;32
mandelGPU_unified;GPU;1024;4.85137E-02;32
mandelGPU_pinned;GPU;1024;4.99203E-02;32
mandelGPU_1D;GPU;1024;9.78165E-02;32
mandelProf;GPU;2048;1.71293E-01;32
mandelGPU_normal;GPU;2048;1.71203E-01;32
mandelGPU_heter;GPU;2048;1.36405E-01;32
mandelGPU_unified;GPU;2048;1.76237E-01;32
mandelGPU_pinned;GPU;2048;1.82580E-01;32
mandelGPU_1D;GPU;2048;2.84682E-01;32
mandelProf;GPU;4096;6.34826E-01;32
mandelGPU_normal;GPU;4096;6.35147E-01;32
mandelGPU_heter;GPU;4096;4.83659E-01;32
mandelGPU_unified;GPU;4096;6.55862E-01;32
mandelGPU_pinned;GPU;4096;6.77548E-01;32
mandelGPU_1D;GPU;4096;7.37858E-01;32
mandelProf;GPU;8192;2.37977E+00;32
mandelGPU_normal;GPU;8192;2.38083E+00;32
mandelGPU_heter;GPU;8192;1.81936E+00;32
mandelGPU_unified;GPU;8192;2.47151E+00;32
mandelGPU_pinned;GPU;8192;2.54948E+00;32
mandelGPU_1D;GPU;8192;2.70327E+00;32
mandelProf;GPU;10240;3.64901E+00;32
mandelGPU_normal;GPU;10240;3.64949E+00;32
mandelGPU_heter;GPU;10240;2.76076E+00;32
mandelGPU_unified;GPU;10240;3.76845E+00;32
mandelGPU_pinned;GPU;10240;3.91231E+00;32
mandelGPU_1D;GPU;10240;3.94249E+00;32
