Function;Mode;Size;Time;TPB
mandelGPU_normal;GPU;1024;4.70662E-02;32
mandelGPU_pinned;GPU;1024;4.96144E-02;32
mandelGPU_unified;GPU;1024;4.87876E-02;32
mandelGPU_normal;GPU;2048;1.71308E-01;32
mandelGPU_pinned;GPU;2048;1.81216E-01;32
mandelGPU_unified;GPU;2048;1.76092E-01;32
mandelGPU_normal;GPU;4096;6.34604E-01;32
mandelGPU_pinned;GPU;4096;6.72713E-01;32
mandelGPU_unified;GPU;4096;6.58225E-01;32
mandelGPU_normal;GPU;8192;2.37960E+00;32
mandelGPU_pinned;GPU;8192;2.52821E+00;32
mandelGPU_unified;GPU;8192;2.46956E+00;32
mandelGPU_normal;GPU;10240;3.64710E+00;32
mandelGPU_pinned;GPU;10240;3.88254E+00;32
mandelGPU_unified;GPU;10240;3.78776E+00;32
