Function;Mode;Size;Time
mandel_normal;PARALELO;256;2.95851E-02
mandel_collapse;PARALELO;256;2.95904E-02
mandel_tasks;PARALELO;256;8.84759E-02
mandel_schedule_guided;PARALELO;256;2.90763E-02
mandel_normal;PARALELO;512;1.00258E-01
mandel_collapse;PARALELO;512;5.94015E-02
mandel_tasks;PARALELO;512;2.94571E-01
mandel_schedule_guided;PARALELO;512;7.88229E-02
mandel_normal;PARALELO;1024;2.72707E-01
mandel_collapse;PARALELO;1024;2.37270E-01
mandel_tasks;PARALELO;1024;1.12582E+00
mandel_schedule_guided;PARALELO;1024;2.20597E-01
mandel_normal;PARALELO;2048;1.01026E+00
mandel_collapse;PARALELO;2048;9.72405E-01
mandel_tasks;PARALELO;2048;4.36490E+00
mandel_schedule_guided;PARALELO;2048;7.85230E-01
mandel_normal;PARALELO;4096;3.90920E+00
mandel_collapse;PARALELO;4096;3.88896E+00
mandel_tasks;PARALELO;4096;1.73575E+01
mandel_schedule_guided;PARALELO;4096;3.03703E+00
mandel_normal;PARALELO;8192;1.55799E+01
mandel_collapse;PARALELO;8192;1.55788E+01
mandel_tasks;PARALELO;8192;6.94259E+01
mandel_schedule_guided;PARALELO;8192;1.21218E+01
