Function;Mode;Size;Time
mandel_normal;PARALELO;256;3.13301E-02
mandel_collapse;PARALELO;256;3.33889E-02
mandel_tasks;PARALELO;256;1.24884E-01
mandel_schedule_guided;PARALELO;256;2.57094E-02
mandel_normal;PARALELO;512;1.00366E-01
mandel_collapse;PARALELO;512;6.22797E-02
mandel_tasks;PARALELO;512;3.46736E-01
mandel_schedule_guided;PARALELO;512;7.93352E-02
mandel_normal;PARALELO;1024;2.70285E-01
mandel_collapse;PARALELO;1024;2.37893E-01
mandel_tasks;PARALELO;1024;1.08284E+00
mandel_schedule_guided;PARALELO;1024;2.41089E-01
mandel_normal;PARALELO;2048;9.75096E-01
mandel_collapse;PARALELO;2048;9.74674E-01
mandel_tasks;PARALELO;2048;4.57963E+00
mandel_schedule_guided;PARALELO;2048;7.88930E-01
mandel_normal;PARALELO;4096;3.93297E+00
mandel_collapse;PARALELO;4096;3.90500E+00
mandel_tasks;PARALELO;4096;1.78102E+01
mandel_schedule_guided;PARALELO;4096;3.04917E+00
mandel_normal;PARALELO;8192;1.56315E+01
mandel_collapse;PARALELO;8192;1.55916E+01
mandel_tasks;PARALELO;8192;7.08349E+01
mandel_schedule_guided;PARALELO;8192;1.21218E+01
