Function;Mode;Size;Time
mandel_normal;PARALELO;256;2.92547E-02
mandel_collapse;PARALELO;256;3.41425E-02
mandel_tasks;PARALELO;256;1.21762E-01
mandel_schedule_guided;PARALELO;256;2.19822E-02
mandel_normal;PARALELO;512;9.23362E-02
mandel_collapse;PARALELO;512;5.92711E-02
mandel_tasks;PARALELO;512;3.02438E-01
mandel_schedule_guided;PARALELO;512;7.83658E-02
mandel_normal;PARALELO;1024;2.75884E-01
mandel_collapse;PARALELO;1024;2.35257E-01
mandel_tasks;PARALELO;1024;1.10559E+00
mandel_schedule_guided;PARALELO;1024;2.24761E-01
mandel_normal;PARALELO;2048;1.03219E+00
mandel_collapse;PARALELO;2048;9.67100E-01
mandel_tasks;PARALELO;2048;4.33594E+00
mandel_schedule_guided;PARALELO;2048;7.72489E-01
mandel_normal;PARALELO;4096;3.88693E+00
mandel_collapse;PARALELO;4096;3.87670E+00
mandel_tasks;PARALELO;4096;1.78513E+01
mandel_schedule_guided;PARALELO;4096;3.03286E+00
mandel_normal;PARALELO;8192;1.55330E+01
mandel_collapse;PARALELO;8192;1.55398E+01
mandel_tasks;PARALELO;8192;7.03559E+01
mandel_schedule_guided;PARALELO;8192;1.20894E+01
