Function;Mode;Size;Time;Error;Average
mandel_normal;PARALELO;256;2.79372E-02;-;221.18878173828125;
mandel_schedule_auto;PARALELO;256;2.75049E-02;0.0;221.18878173828125;
mandel_schedule_static;PARALELO;256;2.85640E-02;0.0;221.18878173828125;
mandel_schedule_guided;PARALELO;256;3.67353E-02;0.0;221.18878173828125;
mandel_schedule_runtime;PARALELO;256;2.81036E-02;0.0;221.18878173828125;
mandel_schedule_dynamic;PARALELO;256;3.38545E-02;0.0;221.18878173828125;
mandel_schedule_dynamic1;PARALELO;256;3.38426E-02;0.0;221.18878173828125;
mandel_schedule_dynamic32;PARALELO;256;2.98877E-02;0.0;221.18878173828125;
mandel_schedule_dynamic256;PARALELO;256;1.02651E-01;0.0;221.18878173828125;
mandel_schedule_dynamic1024;PARALELO;256;8.96852E-02;0.0;221.18878173828125;
mandel_normal;PARALELO;512;8.64141E-02;-;221.35943984985352;
mandel_schedule_auto;PARALELO;512;5.86784E-02;0.0;221.35943984985352;
mandel_schedule_static;PARALELO;512;9.65376E-02;0.0;221.35943984985352;
mandel_schedule_guided;PARALELO;512;8.23913E-02;0.0;221.35943984985352;
mandel_schedule_runtime;PARALELO;512;7.76312E-02;0.0;221.35943984985352;
mandel_schedule_dynamic;PARALELO;512;8.00538E-02;0.0;221.35943984985352;
mandel_schedule_dynamic1;PARALELO;512;7.72636E-02;0.0;221.35943984985352;
mandel_schedule_dynamic32;PARALELO;512;8.26993E-02;0.0;221.35943984985352;
mandel_schedule_dynamic256;PARALELO;512;2.10870E-01;0.0;221.35943984985352;
mandel_schedule_dynamic1024;PARALELO;512;3.52488E-01;0.0;221.35943984985352;
mandel_normal;PARALELO;1024;2.60764E-01;-;221.45262718200684;
mandel_schedule_auto;PARALELO;1024;2.33620E-01;0.0;221.45262718200684;
mandel_schedule_static;PARALELO;1024;2.72026E-01;0.0;221.45262718200684;
mandel_schedule_guided;PARALELO;1024;2.15276E-01;0.0;221.45262718200684;
mandel_schedule_runtime;PARALELO;1024;2.18941E-01;0.0;221.45262718200684;
mandel_schedule_dynamic;PARALELO;1024;2.16341E-01;0.0;221.45262718200684;
mandel_schedule_dynamic1;PARALELO;1024;1.98704E-01;0.0;221.45262718200684;
mandel_schedule_dynamic32;PARALELO;1024;2.16331E-01;0.0;221.45262718200684;
mandel_schedule_dynamic256;PARALELO;1024;4.55395E-01;0.0;221.45262718200684;
mandel_schedule_dynamic1024;PARALELO;1024;1.41553E+00;0.0;221.45262718200684;
mandel_normal;PARALELO;2048;1.02536E+00;-;221.49705934524536;
mandel_schedule_auto;PARALELO;2048;9.38231E-01;0.0;221.49705934524536;
mandel_schedule_static;PARALELO;2048;9.74187E-01;0.0;221.49705934524536;
mandel_schedule_guided;PARALELO;2048;7.54903E-01;0.0;221.49705934524536;
mandel_schedule_runtime;PARALELO;2048;7.53689E-01;0.0;221.49705934524536;
mandel_schedule_dynamic;PARALELO;2048;7.59778E-01;0.0;221.49705934524536;
mandel_schedule_dynamic1;PARALELO;2048;7.53674E-01;0.0;221.49705934524536;
mandel_schedule_dynamic32;PARALELO;2048;7.65981E-01;0.0;221.49705934524536;
mandel_schedule_dynamic256;PARALELO;2048;9.71966E-01;0.0;221.49705934524536;
mandel_schedule_dynamic1024;PARALELO;2048;3.27823E+00;0.0;221.49705934524536;
mandel_normal;PARALELO;4096;3.80516E+00;-;221.47212201356888;
mandel_schedule_auto;PARALELO;4096;3.79881E+00;0.0;221.47212201356888;
mandel_schedule_static;PARALELO;4096;3.79577E+00;0.0;221.47212201356888;
mandel_schedule_guided;PARALELO;4096;2.94197E+00;0.0;221.47212201356888;
mandel_schedule_runtime;PARALELO;4096;2.98717E+00;0.0;221.47212201356888;
mandel_schedule_dynamic;PARALELO;4096;2.98118E+00;0.0;221.47212201356888;
mandel_schedule_dynamic1;PARALELO;4096;2.96970E+00;0.0;221.47212201356888;
mandel_schedule_dynamic32;PARALELO;4096;3.02717E+00;0.0;221.47212201356888;
mandel_schedule_dynamic256;PARALELO;4096;3.26045E+00;0.0;221.47212201356888;
mandel_schedule_dynamic1024;PARALELO;4096;7.13639E+00;0.0;221.47212201356888;
mandel_normal;PARALELO;8192;1.55202E+01;-;221.45900481939316;
mandel_schedule_auto;PARALELO;8192;1.54577E+01;0.0;221.45900481939316;
mandel_schedule_static;PARALELO;8192;1.54346E+01;0.0;221.45900481939316;
mandel_schedule_guided;PARALELO;8192;1.19731E+01;0.0;221.45900481939316;
mandel_schedule_runtime;PARALELO;8192;1.19277E+01;0.0;221.45900481939316;
mandel_schedule_dynamic;PARALELO;8192;1.19145E+01;0.0;221.45900481939316;
mandel_schedule_dynamic1;PARALELO;8192;1.19252E+01;0.0;221.45900481939316;
mandel_schedule_dynamic32;PARALELO;8192;1.20481E+01;0.0;221.45900481939316;
mandel_schedule_dynamic256;PARALELO;8192;1.23896E+01;0.0;221.45900481939316;
mandel_schedule_dynamic1024;PARALELO;8192;1.55910E+01;0.0;221.45900481939316;
